Francês,Português
partie,parte
histoire,história
chercher,procurar
seulement,só
police,polícia
pensais,pensamento
aide,ajuda
demande,solicitação
genre,gênero
mois,mês
frère,irmão
laisser,deixei
car,Porque
mettre,colocar
aucun,não
laisse,coleira
eux,eles
ville,cidade
chaque,cada
parlé,falar
arrivé,vir
devrait,deve
bébé,bebê
longtemps,muito tempo
heures,horas
vont,vontade
pendant,enquanto
revoir,encontrar de novo
aucune,nenhum
place,quadrado
parle,falar
compris,Incluindo
savais,sabia
étaient,estavam
attention,Aviso
voici,aqui está
pourrais,poderia
affaire,caso
donner,dar
type,modelo
leurs,deles
donné,dado
train,Comboio
corps,corpo
endroit,em lei
yeux,olhos
façon,maneira
écoute,ouço
dont,de quem
trouve,achar
premier,primeiro
perdu,perdido
main,mão
première,primeiro
côté,lateral
pouvoir,potência
vieux,velho
sois,estar
tiens,aqui
matin,manhã
tellement,muito
enfant,criança
point,ponto
venu,veio
suite,depois de
pardon,Desculpe
venez,vir
devant,em frente
vers,em direção
minutes,minutos
demandé,solicitação
chambre,quarto
mis,colocada
belle,bonito
droit,lei
aimerais,gostaria de
aujourd'hui,hoje
mari,esposo
cause,causa
enfin,finalmente
espère,ter esperança
eau,agua
attendez,Espere
parti,deixou
nouvelle,novo
boulot,trabalho
arrêter,Pare
dirait,diria
terre,terra
compte,conta
donne,dado
loin,longe
fin,fim
croire,acreditam
chérie,amor
gros,ampla
plutôt,em vez
aura,terá
filles,garotas
jouer,jogar
bureau,escritório